DisputeID,CustomerName,DisputeText
75,Vivaan Patel,Incorrect interest rate applied to my fixed deposit.
76,Vivaan Patel,Loan prepayment not reflected in account statement.
77,Anaya Gupta,Duplicate EMI deducted this month.
78,Aarav Sharma,Received multiple spam calls claiming to be from bank support.
79,Diya Nair,Incorrect interest rate applied to my fixed deposit.
80,Kabir Menon,Bank branch refused to process my DD request.
81,Diya Nair,Loan prepayment not reflected in account statement.
82,Rohan Das,Unable to link Aadhaar to my account online.
83,Diya Nair,Incorrect interest rate applied to my fixed deposit.
84,Arjun Kapoor,My cheque book request is pending for over a month.
85,Kabir Menon,ATM dispensed less cash than requested.
86,Vivaan Patel,Unauthorized charge on my credit card from a foreign location.
87,Anaya Gupta,Old address still showing despite update confirmation.
88,Rohan Das,Salary credit is delayed this month.
89,Tara Joshi,Old address still showing despite update confirmation.
90,Aarav Sharma,Bank branch refused to process my DD request.
91,Aarav Sharma,Old address still showing despite update confirmation.
92,Meera Iqbal,Auto-debit triggered even after I cancelled the mandate.
93,Tara Joshi,Duplicate EMI deducted this month.
94,Tara Joshi,Bank branch refused to process my DD request.
95,Diya Nair,"Two UPI transactions failed consecutively, but money was debited."
96,Arjun Kapoor,ATM dispensed less cash than requested.
97,Kavya Singh,Duplicate EMI deducted this month.
98,Meera Iqbal,Incorrect beneficiary account credited in NEFT transfer.
99,Kabir Menon,Debit card blocked without notice during an emergency.
100,Meera Iqbal,"Two UPI transactions failed consecutively, but money was debited."
